party,raw_reported_votes,raw_reported_share_pct,forecast_votes,forecast_share_pct,forecast_seats,fixed_seats,adjustment_seats,seat_mean,seat_median,seat_lower_50,seat_upper_50,seat_lower_90,seat_upper_90,vote_share_mean,vote_share_median,vote_share_lower_50,vote_share_upper_50,vote_share_lower_90,vote_share_upper_90
M,1260047,19.858718369275486,1314367.8788650176,19.889700581729844,70,67,3,70.56025,71,70,71,70,71,19.89475028096626,19.89241132658833,19.81636665072066,19.973071499361396,19.701558435179024,20.08606465972286
C,447781,7.057162764652864,467465.60459738754,7.073933452883939,25,17,8,25.05425,25,25,25,25,26,7.076014704588046,7.073685215042403,7.027156001827995,7.121409786668831,6.9614699863528315,7.198748540735903
L,340413,5.365010905339385,355942.1990386305,5.386303086921303,19,12,7,19.04075,19,19,19,19,19,5.387694981177572,5.386062047270022,5.343841195845255,5.430644077574042,5.282716345799214,5.494921161439708
KD,394143,6.211811808782805,408940.0835126579,6.1882947291423225,22,22,0,21.97925,22,22,22,22,22,6.188909029439763,6.189399374940299,6.1458806808792295,6.230109898704468,6.081885750217351,6.292383848886491
MP,386858,6.0969980253920495,406282.9512914257,6.1480856178758385,22,13,9,21.89325,22,22,22,21,22,6.1515428299131125,6.150441995159904,6.098566192014234,6.202168378997365,6.0273767075338425,6.279980062379842
S,1780623,28.063152151351833,1845713.4957499357,27.93029971321615,99,94,5,99.0015,99,99,99,98,100,27.919847494220623,27.92776999542945,27.83760018376299,28.010200615539794,27.698196160583276,28.1148322857995
V,521701,8.222164119250623,550728.3214164665,8.333908330376296,30,26,4,29.54575,30,29,30,29,30,8.332167905745235,8.331522344513498,8.248522478820098,8.407343264044812,8.135370922689239,8.533695977361544
SD,1114135,17.559101517921746,1153646.5451186702,17.457581494894328,62,59,3,61.925,62,62,62,61,62,17.4575769730491,17.459400494993293,17.395988794157738,17.52282712884231,17.29643591202782,17.610789447038293
ÖVR,99356,1.5658803380332122,105196.8081640633,1.5918929929599794,0,0,0,0.0,0,0,0,0,0,1.5914958009002889,1.5912634003924828,1.5558006987299726,1.6265717032079996,1.503832127587812,1.679482282144628
