bloc,parties,forecast_seats,majority_threshold,majority_probability,seat_mean,seat_median,seat_lower_50,seat_upper_50,seat_lower_90,seat_upper_90
V + S + MP + C,V+S+MP+C,175,175,0.9335,175.444,175,175,176,174,176
M + L + KD + SD,M+L+KD+SD,174,175,0.0665,173.556,174,173,174,173,175
