draw,M,C,L,KD,MP,S,V,SD,ÖVR,bloc_1,bloc_2
132,70,25,19,22,22,99,30,62,0,176,173
133,70,25,19,22,22,100,30,61,0,177,172
134,70,25,19,22,22,99,30,62,0,176,173
135,71,25,19,22,22,98,30,62,0,175,174
136,70,25,19,22,22,99,30,62,0,176,173
137,70,25,19,22,22,99,30,62,0,176,173
138,71,25,19,22,21,99,29,63,0,174,175
139,71,25,19,22,22,99,29,62,0,175,174
140,70,25,19,21,22,100,30,62,0,177,172
141,70,25,19,22,22,99,30,62,0,176,173
142,70,25,19,22,22,99,29,63,0,175,174
143,70,25,19,22,22,99,30,62,0,176,173
144,70,25,19,22,22,99,30,62,0,176,173
145,71,25,19,22,22,99,29,62,0,175,174
146,70,25,19,22,22,100,29,62,0,176,173
147,70,25,19,22,22,99,31,61,0,177,172
148,70,25,19,22,22,99,30,62,0,176,173
149,71,25,19,22,21,99,30,62,0,175,174
150,71,25,19,22,22,99,29,62,0,175,174
151,70,25,19,22,22,99,30,62,0,176,173
152,70,25,19,22,22,99,30,62,0,176,173
153,70,25,19,22,22,99,30,62,0,176,173
154,70,25,19,22,22,100,29,62,0,176,173
155,71,25,19,22,22,99,29,62,0,175,174
156,70,25,19,22,22,99,30,62,0,176,173
157,71,25,19,22,22,99,29,62,0,175,174
158,71,25,19,21,21,99,30,63,0,175,174
159,70,25,19,22,22,100,30,61,0,177,172
160,70,25,19,22,22,99,30,62,0,176,173
161,70,25,19,22,22,99,30,62,0,176,173
162,70,24,19,22,22,100,30,62,0,176,173
163,70,25,19,22,22,100,29,62,0,176,173
164,71,25,19,22,22,99,29,62,0,175,174
165,70,25,19,22,22,100,29,62,0,176,173
166,70,25,20,22,22,99,30,61,0,176,173
167,71,25,19,22,22,99,29,62,0,175,174
168,71,25,19,22,22,99,29,62,0,175,174
169,71,25,19,22,22,99,29,62,0,175,174
170,71,25,19,22,22,99,29,62,0,175,174
171,71,25,19,22,22,99,29,62,0,175,174
172,71,25,19,22,22,99,29,62,0,175,174
173,71,25,19,22,21,100,29,62,0,175,174
174,71,25,19,22,22,98,30,62,0,175,174
175,70,25,19,22,22,99,30,62,0,176,173
176,70,25,19,22,22,100,29,62,0,176,173
177,70,25,19,22,22,99,30,62,0,176,173
178,71,25,19,22,22,99,29,62,0,175,174
179,71,25,19,22,22,99,29,62,0,175,174
180,71,25,19,22,22,99,29,62,0,175,174
181,71,25,19,22,22,99,30,61,0,176,173
182,71,25,19,22,22,99,29,62,0,175,174
183,70,25,19,22,22,99,29,63,0,175,174
184,71,25,19,22,22,98,30,62,0,175,174
185,70,25,19,22,22,99,30,62,0,176,173
186,70,26,19,22,22,99,29,62,0,176,173
187,70,25,19,22,22,99,30,62,0,176,173
188,71,25,19,22,22,99,29,62,0,175,174
189,70,25,19,22,22,99,29,63,0,175,174
190,71,25,19,22,22,99,29,62,0,175,174
191,71,25,19,22,22,99,29,62,0,175,174
192,71,25,19,22,22,99,30,61,0,176,173
193,71,25,19,22,22,99,29,62,0,175,174
194,71,25,19,22,22,98,29,63,0,174,175
195,71,25,19,22,22,99,29,62,0,175,174
196,70,25,19,22,22,99,30,62,0,176,173
197,71,25,19,22,22,99,29,62,0,175,174
198,70,25,19,22,22,99,30,62,0,176,173
199,71,25,19,22,22,99,29,62,0,175,174
200,71,25,19,22,22,99,30,61,0,176,173
201,70,25,19,22,21,100,30,62,0,176,173
202,70,25,19,22,22,99,30,62,0,176,173
203,70,25,19,22,22,99,30,62,0,176,173
204,70,25,19,22,22,99,30,62,0,176,173
205,70,25,19,22,22,99,30,62,0,176,173
206,70,25,19,22,22,100,29,62,0,176,173
207,71,25,19,22,21,100,29,62,0,175,174
208,71,25,19,22,21,99,30,62,0,175,174
209,70,25,19,22,22,99,30,62,0,176,173
210,70,25,19,22,22,99,30,62,0,176,173
211,71,25,19,22,22,99,29,62,0,175,174
212,70,25,19,21,22,99,31,62,0,177,172
213,70,25,19,22,22,99,31,61,0,177,172
214,70,25,19,22,22,99,30,62,0,176,173
215,70,25,19,22,22,100,29,62,0,176,173
216,71,25,19,22,22,99,29,62,0,175,174
217,71,25,19,22,22,99,29,62,0,175,174
218,71,25,19,22,22,99,29,62,0,175,174
219,70,25,20,22,22,99,29,62,0,175,174
220,70,25,19,22,22,99,30,62,0,176,173
221,70,25,19,22,22,100,29,62,0,176,173
222,71,25,19,23,22,98,29,62,0,174,175
223,71,25,19,22,22,99,30,61,0,176,173
224,70,25,19,22,22,99,30,62,0,176,173
225,71,26,19,22,21,99,29,62,0,175,174
226,70,25,19,22,22,100,29,62,0,176,173
227,71,25,19,22,22,99,29,62,0,175,174
228,71,25,19,22,22,99,29,62,0,175,174
229,71,25,19,22,22,99,29,62,0,175,174
230,71,25,19,22,22,99,29,62,0,175,174
231,70,26,19,22,22,99,29,62,0,176,173
232,71,25,19,22,21,99,30,62,0,175,174
233,71,25,19,22,22,99,29,62,0,175,174
234,71,25,19,22,22,99,29,62,0,175,174
235,71,26,19,22,22,99,29,61,0,176,173
236,71,25,19,22,22,99,29,62,0,175,174
237,71,25,19,22,22,99,29,62,0,175,174
238,71,25,19,22,22,99,30,61,0,176,173
239,71,26,19,22,22,98,29,62,0,175,174
240,71,25,19,22,22,99,29,62,0,175,174
241,71,24,19,22,21,100,30,62,0,175,174
242,71,25,19,22,22,99,29,62,0,175,174
243,71,25,19,22,21,99,30,62,0,175,174
244,72,25,19,23,22,98,28,62,0,173,176
245,69,25,19,22,22,100,30,62,0,177,172
246,71,25,19,22,22,99,29,62,0,175,174
247,70,25,19,22,22,99,30,62,0,176,173
248,71,25,19,22,22,99,29,62,0,175,174
249,70,25,19,22,22,99,30,62,0,176,173
250,71,25,19,22,22,99,29,62,0,175,174
251,70,25,19,22,22,99,29,63,0,175,174
252,70,25,19,22,22,99,30,62,0,176,173
253,71,25,19,22,22,98,30,62,0,175,174
254,70,25,19,22,22,99,30,62,0,176,173
255,70,25,19,22,22,99,30,62,0,176,173
256,71,26,19,22,22,99,29,61,0,176,173
257,70,26,19,22,22,99,29,62,0,176,173
258,71,25,19,22,22,99,29,62,0,175,174
259,71,25,19,22,22,99,29,62,0,175,174
260,71,25,19,22,22,99,29,62,0,175,174
261,70,25,19,22,22,99,30,62,0,176,173
262,71,25,19,22,22,99,29,62,0,175,174
263,70,25,19,22,22,99,30,62,0,176,173
264,70,26,19,22,22,99,29,62,0,176,173
265,70,25,19,22,22,99,30,62,0,176,173
266,70,25,19,22,22,99,30,62,0,176,173
267,70,25,19,22,22,99,30,62,0,176,173
268,70,25,19,21,22,99,31,62,0,177,172
269,71,25,19,22,22,99,29,62,0,175,174
270,71,25,19,22,22,99,29,62,0,175,174
271,70,25,19,22,22,100,30,61,0,177,172
272,70,25,19,22,22,99,30,62,0,176,173
273,71,25,19,22,22,99,30,61,0,176,173
274,70,25,19,22,21,100,30,62,0,176,173
275,70,25,19,22,22,99,30,62,0,176,173
276,71,25,19,22,22,99,29,62,0,175,174
277,71,25,19,22,22,99,29,62,0,175,174
278,70,25,19,22,22,99,30,62,0,176,173
279,71,25,19,22,22,99,29,62,0,175,174
280,70,25,19,22,21,100,30,62,0,176,173
281,70,25,19,22,22,99,30,62,0,176,173
282,71,25,19,22,22,99,29,62,0,175,174
283,70,25,19,22,22,99,30,62,0,176,173
284,71,25,19,22,22,98,30,62,0,175,174
285,72,25,19,22,22,98,29,62,0,174,175
286,71,26,19,22,23,98,29,61,0,176,173
287,70,25,19,22,22,99,30,62,0,176,173
288,70,25,19,22,22,100,29,62,0,176,173
289,71,25,19,22,22,99,30,61,0,176,173
290,71,25,19,22,22,99,29,62,0,175,174
291,71,25,19,22,22,99,29,62,0,175,174
292,71,25,19,22,22,99,29,62,0,175,174
293,72,26,19,22,22,98,29,61,0,175,174
294,70,25,19,22,22,99,30,62,0,176,173
295,70,25,19,22,22,99,30,62,0,176,173
296,70,25,19,22,21,100,30,62,0,176,173
297,70,25,19,22,22,99,30,62,0,176,173
298,70,25,19,22,22,99,31,61,0,177,172
299,71,25,19,21,22,99,30,62,0,176,173
300,71,25,19,22,22,99,29,62,0,175,174
301,70,25,19,22,22,99,30,62,0,176,173
302,71,25,19,22,22,99,29,62,0,175,174
303,71,26,20,22,22,98,28,62,0,174,175
304,72,25,19,22,22,98,30,61,0,175,174
305,71,25,19,22,22,99,29,62,0,175,174
306,71,25,19,22,22,99,29,62,0,175,174
307,70,25,19,21,22,100,30,62,0,177,172
308,72,25,19,22,22,98,29,62,0,174,175
309,71,25,19,22,21,99,30,62,0,175,174
310,70,25,19,22,22,100,30,61,0,177,172
311,71,25,19,22,21,99,30,62,0,175,174
312,71,25,19,22,21,99,30,62,0,175,174
313,70,25,19,22,22,99,30,62,0,176,173
314,70,25,19,22,22,99,30,62,0,176,173
315,70,25,19,22,22,99,30,62,0,176,173
316,70,25,19,22,22,99,30,62,0,176,173
317,70,25,19,22,22,99,30,62,0,176,173
318,71,25,19,22,22,99,30,61,0,176,173
319,70,25,19,22,22,100,29,62,0,176,173
320,70,25,19,22,22,99,30,62,0,176,173
321,71,25,19,22,22,99,29,62,0,175,174
322,71,25,19,22,22,99,29,62,0,175,174
323,70,25,19,22,22,99,30,62,0,176,173
324,70,26,19,22,22,99,29,62,0,176,173
325,71,25,19,22,22,99,29,62,0,175,174
326,70,25,19,22,21,100,30,62,0,176,173
327,70,24,19,22,22,99,31,62,0,176,173
328,70,25,19,22,21,100,30,62,0,176,173
329,71,26,19,22,22,98,29,62,0,175,174
330,71,25,19,22,22,99,29,62,0,175,174
331,71,25,19,22,22,99,29,62,0,175,174
332,71,25,19,22,22,99,29,62,0,175,174
333,70,25,19,22,22,99,30,62,0,176,173
334,71,25,19,22,22,99,29,62,0,175,174
335,71,25,19,22,22,99,29,62,0,175,174
336,70,25,19,22,22,99,30,62,0,176,173
337,71,25,19,22,22,98,30,62,0,175,174
338,70,25,20,22,22,99,29,62,0,175,174
339,71,25,19,22,21,99,30,62,0,175,174
340,71,25,19,22,23,98,29,62,0,175,174
