code,municipality,county,constituency,constituency_name,name,electorate,kind,baseline_source,prior_rate,expected_votes,old_codes,prior_M,prior_C,prior_L,prior_KD,prior_MP,prior_S,prior_V,prior_SD,prior_ÖVR
01140101,0114,01,02,Stockholms län,Övra Runby,1332,ordinary,district_mapping,0.7716003005259203,1027.771600300526,01140101,0.17207949587978671,0.07125545322346098,0.05671352399418323,0.046049442559379546,0.06737760542898691,0.3048957828405235,0.07610276296655356,0.19243819680077556,0.013087736306349976
01140102,0114,01,02,Stockholms län,Mälaren,1129,ordinary,district_mapping,0.8213953488372093,927.3553488372094,01140102,0.1876056338028169,0.061408450704225355,0.06366197183098592,0.04338028169014085,0.07042253521126761,0.30028169014084505,0.05464788732394366,0.2067605633802817,0.011830985915492958
01140120,0114,01,02,Stockholms län,Edssjön,1674,ordinary,district_mapping,0.7937399678972713,1328.720706260032,01140120,0.2008052340211374,0.058882737795671866,0.04781077000503271,0.05686965274282838,0.05787619526925013,0.3085052843482637,0.0790135883241067,0.1665827881227982,0.02365374937091092
01140121,0114,01,02,Stockholms län,Nedra Runby,1151,ordinary,district_mapping,0.7622877569258266,877.3932082216264,01140121,0.1521865889212828,0.06588921282798833,0.037900874635568516,0.04839650145772595,0.053061224489795916,0.3212827988338192,0.07988338192419825,0.22565597667638485,0.01574344023323615
01140126,0114,01,02,Stockholms län,Prästgårdsmarken,1273,ordinary,district_mapping,0.7281553398058253,926.9417475728155,01140126,0.15422885572139303,0.04809286898839138,0.02377003869541183,0.037037037037037035,0.04145936981757877,0.30458817025981205,0.10226644555002765,0.25925925925925924,0.029297954671088998
01140203,0114,01,02,Stockholms län,Folkparken,1356,ordinary,district_mapping,0.7957627118644067,1079.0542372881355,01140203,0.1891891891891892,0.07366189719130896,0.05564387917329094,0.0492845786963434,0.04398516163222046,0.30259671436142027,0.08214096449390568,0.18706942236354002,0.016428192898781134
01140204,0114,01,02,Stockholms län,Fysingen,1196,ordinary,district_mapping,0.7442713107241063,890.1484876260312,01140204,0.22841396203306796,0.04837721984078383,0.04592774035517452,0.06307409675443969,0.02878138395590937,0.24311083894672383,0.065523576240049,0.26883037354562156,0.007960808328230252
01140206,0114,01,02,Stockholms län,Sigma,1082,ordinary,district_mapping,0.6111111111111112,661.2222222222223,01140206,0.12747426761678543,0.05463182897862233,0.021377672209026127,0.03246239113222486,0.034045922406967535,0.33808392715756136,0.16547901821060965,0.17339667458432304,0.05304829770387965
01140207,0114,01,02,Stockholms län,Odenslunda Södra,1240,ordinary,district_mapping,0.8235294117647058,1021.1764705882352,01140207,0.25135802469135804,0.04987654320987654,0.05975308641975308,0.05283950617283951,0.04691358024691358,0.25728395061728393,0.04691358024691358,0.2217283950617284,0.013333333333333334
01140209,0114,01,02,Stockholms län,Smedby Norra,948,ordinary,district_mapping,0.5667396061269147,537.269146608315,01140209,0.09856459330143541,0.02966507177033493,0.02966507177033493,0.03732057416267943,0.01818181818181818,0.33588516746411484,0.14832535885167464,0.2669856459330144,0.0354066985645933
